Link,Chipset,Antutu_11,Clock,GPU,Architecture
/en/soc/mediatek-helio-g85,Helio G85,349222,2000 MHz,Mali-G52 MP2,2x 2 GHz – Cortex-A75 | 6x 1.8 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-662,Snapdragon 662,320666,2000 MHz,Adreno 610,4x 2 GHz – Kryo 260 Gold (Cortex-A73) | 4x 1.8 GHz – Kryo 260 Silver (Cortex-A53)
/en/soc/mediatek-helio-g80,Helio G80,310388,2000 MHz,Mali-G52 MP2,2x 2 GHz – Cortex-A75 | 6x 1.8 GHz – Cortex-A55
/en/soc/mediatek-helio-g70,Helio G70,317084,2000 MHz,Mali-G52 MP2,2x 2 GHz – Cortex-A75 | 6x 1.7 GHz – Cortex-A55
/en/soc/apple-a9,Apple A9,419670,1850 MHz,PowerVR GT7600,2x 1.85 GHz – Twister
/en/soc/qualcomm-snapdragon-665,Snapdragon 665,323556,2000 MHz,Adreno 610,4x 2 GHz – Kryo 260 Gold (Cortex-A73) | 4x 1.8 GHz – Kryo 260 Silver (Cortex-A53)
/en/soc/qualcomm-snapdragon-670,Snapdragon 670,322015,2000 MHz,Adreno 615,2x 2 GHz – Kryo 360 Gold (Cortex-A75) | 6x 1.7 GHz – Kryo 360 Silver (Cortex-A55)
/en/soc/mediatek-helio-p90,Helio P90,388553,2200 MHz,PowerVR GM9446,2x 2.2 GHz – Cortex A75 | 6x 2 GHz – Cortex A55
/en/soc/samsung-exynos-8895,Exynos 8895,447464,2314 MHz,Mali-G71 MP20,4x 2.314 GHz – Exynos M2 | 4x 1.69 GHz – Cortex-A53
/en/soc/unisoc-t606,Unisoc T606,330006,1600 MHz,Mali-G57 MP1,2x 1.6 GHz – Cortex-A75 | 6x 1.6 GHz – Cortex-A55
/en/soc/unisoc-tiger-t610,Tiger T610,320967,1820 MHz,Mali-G52 MP2,2x 1.82 GHz – Cortex-A75 | 6x 1.82 GHz – Cortex-A55
/en/soc/unisoc-tiger-t700,Tiger T700,332816,1820 MHz,Mali-G52 MP2,2x 1.82 GHz – Cortex-A75 | 6x 1.82 GHz – Cortex-A55
/en/soc/samsung-exynos-850,Exynos 850,231906,2000 MHz,Mali-G52 MP1,8x 2 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-460,Snapdragon 460,251428,1800 MHz,Adreno 610,4x 1.8 GHz – Kryo 240 Gold | 4x 1.8 GHz – Kryo 240 Silver
